Gene ID,Gene Symbol,TF
ENSG00000035141.7,FAM136A,MYBL2
ENSG00000035499.12,DEPDC1B,MYBL2
ENSG00000035687.9,ADSS,MYBL2
ENSG00000035928.14,RFC1,MYBL2
ENSG00000035928.14,RFC1,MYBL2
ENSG00000036054.12,TBC1D23,MYBL2
ENSG00000036257.12,CUL3,MYBL2
ENSG00000036549.12,ZZZ3,MYBL2
ENSG00000036549.12,ZZZ3,MYBL2
ENSG00000036672.15,USP2,MYBL2
ENSG00000037042.8,TUBG2,MYBL2
ENSG00000037042.8,TUBG2,MYBL2
ENSG00000037241.7,RPL26L1,MYBL2
ENSG00000037474.14,NSUN2,MYBL2
ENSG00000037637.10,FBXO42,MYBL2
ENSG00000037749.11,MFAP3,MYBL2
ENSG00000037757.13,MRI1,MYBL2
ENSG00000037897.16,METTL1,MYBL2
ENSG00000038002.8,AGA,MYBL2
ENSG00000038210.12,PI4K2B,MYBL2
ENSG00000038219.12,BOD1L1,MYBL2
ENSG00000038358.14,EDC4,MYBL2
ENSG00000038382.17,TRIO,MYBL2
ENSG00000038532.14,CLEC16A,MYBL2
ENSG00000039123.15,SKIV2L2,MYBL2
ENSG00000039319.16,ZFYVE16,MYBL2
ENSG00000039560.13,RAI14,MYBL2
ENSG00000039650.10,PNKP,MYBL2
ENSG00000040199.18,PHLPP2,MYBL2
ENSG00000040275.16,SPDL1,MYBL2
ENSG00000040341.17,STAU2,MYBL2
ENSG00000040487.12,PQLC2,MYBL2
ENSG00000040531.14,CTNS,MYBL2
ENSG00000040531.14,CTNS,MYBL2
ENSG00000040633.12,PHF23,MYBL2
ENSG00000040933.15,INPP4A,MYBL2
ENSG00000041357.15,PSMA4,MYBL2
ENSG00000041802.10,LSG1,MYBL2
ENSG00000041880.14,PARP3,MYBL2
ENSG00000041988.15,THAP3,MYBL2
ENSG00000042088.13,TDP1,MYBL2
ENSG00000042286.14,AIFM2,MYBL2
ENSG00000042429.10,MED17,MYBL2
ENSG00000042429.10,MED17,MYBL2
ENSG00000042445.13,RETSAT,MYBL2
ENSG00000042753.11,AP2S1,MYBL2
ENSG00000044090.8,CUL7,MYBL2
ENSG00000044459.14,CNTLN,MYBL2
ENSG00000044574.7,HSPA5,MYBL2
ENSG00000047056.14,WDR37,MYBL2
ENSG00000047249.16,ATP6V1H,MYBL2
ENSG00000047315.14,POLR2B,MYBL2
ENSG00000047410.13,TPR,MYBL2
ENSG00000047457.13,CP,MYBL2
ENSG00000047578.12,KIAA0556,MYBL2
ENSG00000047579.19,DTNBP1,MYBL2
ENSG00000047579.19,DTNBP1,MYBL2
ENSG00000047621.11,C12orf4,MYBL2
ENSG00000047849.21,MAP4,MYBL2
ENSG00000047932.13,GOPC,MYBL2
ENSG00000048028.11,USP28,MYBL2
ENSG00000048140.17,TSPAN17,MYBL2
ENSG00000048162.20,NOP16,MYBL2
ENSG00000048392.11,RRM2B,MYBL2
ENSG00000048392.11,RRM2B,MYBL2
ENSG00000048471.13,SNX29,MYBL2
ENSG00000048544.5,MRPS10,MYBL2
ENSG00000048649.13,RSF1,MYBL2
ENSG00000048991.16,R3HDM1,MYBL2
ENSG00000049167.13,ERCC8,MYBL2
ENSG00000049239.12,H6PD,MYBL2
ENSG00000049541.10,RFC2,MYBL2
ENSG00000049618.22,ARID1B,MYBL2
ENSG00000049656.13,CLPTM1L,MYBL2
ENSG00000049759.17,NEDD4L,MYBL2
ENSG00000049883.14,PTCD2,MYBL2
ENSG00000050130.17,JKAMP,MYBL2
ENSG00000050393.11,MCUR1,MYBL2
ENSG00000050405.13,LIMA1,MYBL2
ENSG00000050426.15,LETMD1,MYBL2
ENSG00000051009.10,FAM160A2,MYBL2
ENSG00000051108.14,HERPUD1,MYBL2
ENSG00000051180.16,RAD51,MYBL2
ENSG00000051341.13,POLQ,MYBL2
ENSG00000051382.8,PIK3CB,MYBL2
ENSG00000051523.10,CYBA,MYBL2
ENSG00000051596.9,THOC3,MYBL2
ENSG00000051620.10,HEBP2,MYBL2
ENSG00000052723.11,SIKE1,MYBL2
ENSG00000052749.13,RRP12,MYBL2
ENSG00000052749.13,RRP12,MYBL2
ENSG00000052795.12,FNIP2,MYBL2
ENSG00000052802.12,MSMO1,MYBL2
ENSG00000052841.14,TTC17,MYBL2
ENSG00000053371.12,AKR7A2,MYBL2
ENSG00000053372.4,MRTO4,MYBL2
ENSG00000053501.12,USE1,MYBL2
ENSG00000053770.11,AP5M1,MYBL2
ENSG00000054116.11,TRAPPC3,MYBL2
